eye,channel 2,channel 3,alpha,eye filtered,channel 2 filtered,channel 3 filtered,alpha filtered
9252.677734375,-15227.125,-5215.78369140625,-8148.3857421875,-0.40549258915485603,-0.4055033562233531,-0.40549895288731369,-0.40550024274767321
9196.6875,-15445.3271484375,-5327.37890625,-8227.42578125,-0.40543699967056707,-0.40559497629773594,-0.40553035194103165,-0.40554925416958748
9219.0400390625,-15585.40234375,-5308.0751953125,-8183.28466796875,-0.40507329295506284,-0.40619543896452026,-0.40573622178031155,-0.40587029645671219
9290.6728515625,-15455.21875,-5186.3623046875,-8079.96240234375,-0.40355169226463283,-0.40871225792482452,-0.40659932544959765,-0.40721488943071066
9315.28515625,-15226.6259765625,-5122.9931640625,-8049.46826171875,-0.39896800203038418,-0.41630919250414117,-0.40920448625599376,-0.41126912447330094
9265.86328125,-15218.447265625,-5206.48486328125,-8134.92724609375,-0.38836126406342003,-0.43392436401130463,-0.41524255563880696,-0.42065634346400638
9211.369140625,-15433.2705078125,-5318.8330078125,-8217.9765625,-0.36875409822109972,-0.46654872787776525,-0.42641482320849466,-0.43801055535411343
9229.5439453125,-15579.9619140625,-5304.01904296875,-8187.02099609375,-0.33911956292152851,-0.51593326104622861,-0.4432993877985883,-0.46422216306036701
9292.6396484375,-15461.5439453125,-5187.1904296875,-8092.20703125,-0.30214553625361801,-0.57760272685515357,-0.46433269658990289,-0.49686873471340326
9315.125,-15235.6796875,-5126.29638671875,-8074.2021484375,-0.26434714679712118,-0.64063442757375455,-0.48575423293059983,-0.53013422064491322
9258.91796875,-15229.806640625,-5214.9833984375,-8158.08935546875,-0.23394387210512838,-0.69122694167373766,-0.50285417908887986,-0.55673252294732634
9201.9951171875,-15442.654296875,-5327.6142578125,-8228.376953125,-0.21739387412856706,-0.71856355785977266,-0.51198727132819355,-0.57100986220521543
9224.404296875,-15585.6943359375,-5310.240234375,-8184.24462890625,-0.21645539523734281,-0.71977456172524168,-0.51224466868885654,-0.57152957597828069
