eye,channel 2,channel 3,alpha,eye filtered,channel 2 filtered,channel 3 filtered,alpha filtered
8338.814453125,-15707.2568359375,-5541.6845703125,-8402.8330078125,-0.40331315110891769,-0.40332370410105023,-0.40331924278165826,-0.40332049844112089
8397.72265625,-15576.5927734375,-5435.115234375,-8324.4521484375,-0.40326311445709107,-0.40341784869306646,-0.40335243144077559,-0.40337085878326567
8418.380859375,-15406.13671875,-5383.72705078125,-8306.541015625,-0.40293539628982933,-0.40403360808693195,-0.40356931898049109,-0.40370024982153369
8371.115234375,-15440.3388671875,-5465.07275390625,-8392.998046875,-0.40156285460225066,-0.40660828434781332,-0.40447540073923743,-0.40507774804149366
8324.009765625,-15624.7431640625,-5562.654296875,-8443.51953125,-0.39742369771776198,-0.41435787128341517,-0.40720037378421087,-0.4092253769220297
8340.6875,-15704.357421875,-5541.43994140625,-8393.86328125,-0.3878361651374051,-0.43226970863026498,-0.4134942466560485,-0.41881777097126915
8401.091796875,-15574.814453125,-5434.4658203125,-8320.9130859375,-0.37009956525560861,-0.46532949106844967,-0.4251054495724198,-0.43653891722581595
8420.931640625,-15405.826171875,-5383.25634765625,-8313.4306640625,-0.34328218383971598,-0.51519789031865526,-0.44261879570177209,-0.46330501611774622
8375.001953125,-15435.10546875,-5461.3740234375,-8388.25390625,-0.30983029049206917,-0.57726536190445188,-0.46442685703621089,-0.49667656106475516
8326.8798828125,-15617.298828125,-5559.33154296875,-8451.896484375,-0.27567047891370006,-0.64052560372907841,-0.48668266449898778,-0.53076591540420959
8339.51953125,-15702.587890625,-5541.54345703125,-8412.6025390625,-0.24826683694044885,-0.6912034339405172,-0.50455886102925274,-0.55815919579352791
8398.8515625,-15577.7314453125,-5435.482421875,-8326.080078125,-0.23345488659004379,-0.71857724775969445,-0.51427680433983847,-0.57304152624571725
8421.044921875,-15408.3388671875,-5382.11767578125,-8303.2568359375,-0.23277502055216212,-0.71984307396177405,-0.5148160022962065,-0.57384139334211637
8378.4755859375,-15434.400390625,-5455.83056640625,-8369.4775390625,-0.242811293515485,-0.70130707025429051,-0.5083548056266336,-0.56391361646148797
8326.8427734375,-15618.494140625,-5557.49658203125,-8440.056640625,-0.25688406092319949,-0.67528814830027628,-0.49920746251869846,-0.54989319744369058
8337.5244140625,-15705.8916015625,-5544.64013671875,-8400.3388671875,-0.26813569487626632,-0.65445962197147056,-0.49184267753814936,-0.53863597570562716
8396.0185546875,-15580.57421875,-5439.1435546875,-8324.5458984375,-0.27238358395392109,-0.6465781831166304,-0.48901607612693421,-0.53435109033491079
8421.6376953125,-15407.171875,-5382.22119140625,-8306.6259765625,-0.26939883573155265,-0.65208478211676157,-0.49090686971528147,-0.53729066103969014
8376.263671875,-15433.0263671875,-5458.04248046875,-8377.8447265625,-0.26221868606432858,-0.66535558215344159,-0.49554935821866614,-0.54442470718593494
8324.564453125,-15617.1015625,-5558.333984375,-8447.125,-0.25511411097232889,-0.67848069061429739,-0.50016464252967108,-0.55148522653350229
8338.484375,-15707.9150390625,-5543.35986328125,-8410.607421875,-0.25138293603690492,-0.68537235288347786,-0.50260841029182657,-0.55518409305955907
8397.35546875,-15583.8212890625,-5434.17431640625,-8305.9013671875,-0.25202734173738456,-0.68420080128852112,-0.50222651158344755,-0.55452851506131684
